Chicken Marbella,"['▢ 1 tablespoon extra-virgin olive oil▢ 2 ½ pounds 6 bone-in chicken thighs, skin removed▢ 6 garlic cloves, thinly sliced▢ ½ cup pitted prunes, halved▢ ½ cup pitted Spanish green olives, halved▢ ¼ cup drained capers plus 1 tablespoon brine▢ 3 dried bay leaves▢ 1 tablespoon dried oregano▢ 1 tablespoon brown sugar▢ 1 teaspoon kosher salt▢ ½ teaspoon freshly ground black pepper▢ 1 cup low sodium chicken broth▢ ¼ cup red wine vinegar']",15,"['Heat olive oil in a large skillet over high heat until shimmering, about 2 minutes. Add the chicken, skinned side down, then cover and cook until deep golden brown, about 10 minutes.Flip chicken, cover again and cook until golden on second side, about 5 minutes. Add garlic and cook, stirring until fragrant, about 1 minute.Add the prunes, olives, capers and brine, bay leaves and oregano to the skillet, arranging them evenly around the chicken. Season the chicken with brown sugar, salt and pepper. Pour the chicken broth and vinegar over top and bring to a boil.Reduce heat to low, cover and simmer until chicken is cooked through, 15 to 20 minutes.Carefully transfer the chicken to a serving platter then return the skillet to the stove over high heat. Cook sauce, swirling occasionally, until reduced and slightly thickened, about 5 minutes.Spoon pan sauce and over chicken and serve.']",Mediterranean,"Dinner, main dish"
One Pot Chicken and Orzo,"['▢ 4 chicken thighs, bone-in, skin-on ▢ 1 tsp kosher salt, divided▢ ½ tablespoon extra virgin olive oil▢ ½ cup onion, diced▢ 1 cup uncooked orzo▢ 2-3 cloves garlic, minced▢ ½ cup tomato paste▢ 3 cups chicken broth▢ 2-4 tablespoons grated pecorino romano, or Parmesan cheese, optional▢ ¼ cup basil, chiffonade']",15,"['Preheat oven to 375°F.Season chicken thighs with ¾ tsp of salt & bring to room temperature; thoroughly dry chicken skin with a paper towel before step 2.Heat oil in a large oven-safe skillet over medium-low heat, add chicken thighs skin side down. Render until golden and crisp, about 12-15 minutes. Remove chicken from pan.In the same pan, add onion and remaining salt and saute until aromatic, 4-5 minutes.Add orzo and toast 4-5 minutes, stirring occasionally, until most pieces are lightly golden and there is a nutty aroma.Add garlic and mix to combine. Add tomato paste and cook to caramelize, 2-3 minutes.Add chicken broth & bring to a boil. Nestle chicken thighs, flesh side down, into the orzo (make sure that the skin is NOT in the liquid) \xa0and transfer to the oven Bake for 20-25 minutes, or until orzo is cooked through.*Serve in cooking vessel and top with grated cheese and basil.']","American, American-Italian","Dinner, main dish"
Arugula Salad,"['▢ 6 cups baby arugula, 4 oounces▢ 2 tablespoons extra virgin olive oil▢ 1/2 large  lemon▢ 1/4 teaspoon kosher salt▢ black pepper, to taste▢ 1 ounce shaved Parmesan Cheese, about 1/2 cup ']",5,"['Add arugula to a bowl, toss with 2 tablespoons of olive oil, juice from 1/2 lemon, 1/4 teaspoon kosher salt and black pepper.To serve, divide 1 cup arugula on each plate and top each with 2 tablespoons shaved Parmesan cheese.']",American-Italian,"Salad, Side Dish"
Roasted Asparagus,"['▢ 1 bunch fresh asparagus, about 18 ounces▢ olive oil spray▢ kosher salt, to taste (about 1/2 teaspoon)▢ fresh black pepper, to taste']",5,"[""Preheat the Oven: Set your oven to 400°F (205°C). This temperature is ideal for roasting asparagus, allowing it to become tender and slightly caramelized.Prepare: Rinse the asparagus under cold water to clean. Dry the spears with a kitchen towel. Trim off the tough bottom ends of the asparagus spears. This can be about 1-2 inches from the bottom, or you can find the natural breaking point by gently bending the spear until it snaps.Season: Place the asparagus on a baking sheet or sheet pan. Drizzle or spray with olive oil then sprinkle with salt and black pepper to taste. Arrange for Roasting: Spread the asparagus in a single layer on the baking sheet. Make sure there's a little space between the spears so they roast properly rather than steam.Roast: Place the baking sheet in the preheated oven. Roast for about 10-15 minutes, or until the asparagus is crisp tender and lightly browned. Thinner spears will cook faster, so adjust the time accordingly."", 'OptionalOnce done, you can optionally squeeze a bit of lemon juice over the asparagus for a fresh zing or top with a sprinkle of grated Parmesan cheese for a savory finish. Serve immediately.']",American,Side Dish
Italian Sub Salad,"['▢ 2 tablespoon extra virgin olive oil▢ 3 tablespoons red wine vinegar▢ 1/2 tablespoon Italian seasoning▢ 1 clove minced garlic▢ 1/4 tsp teaspoon kosher salt▢ 8 cups chopped iceberg or romaine lettuce, chopped▢ 6 ounces thin sliced turkey, chopped▢ 2 ounces thin slices genoa salami, chopped from about 6 thin slices▢ 3 ounces turkey pepperoni, chopped▢ 2 ounces Capicola, chopped▢ 1/3 cup shredded part-skim mozzarella & provolone mix, low moisture ▢ 1/3 cup cherry tomato, chopped▢ 1/4 cup red onion, sliced▢ 1/4 cup pickled pepperoncini or banana peppers, sliced (plus 1 tablespoon brine)▢ 1/4 cup black olives, sliced']",20,"['In a small bowl, whisk olive oil, vinegar, 1/2 tablespoon italian seasoning, garlic, salt and 1 tablespoon brine from pepperoncini.Add a large bowl add the lettuce, turkey, salami, pepperoni, capicola, cheese, tomato, red onion, pepperoncini and black olives. Drizzle in the dressing when ready to eat and toss to coat.']","American-Italian, Italian-American","Dinner, Lunch"
Lemon-Coconut Almond Cake,"['▢ 1 cup frozen coconut whipped cream, Coco Whip, thawed in refrigerator overnight (from a 9 ounce container)▢ Nonstick cooking spray▢ 2 cups almond flour, plus more for the pan, (200g) ▢ 2/3 cup granulated sugar , or monk fruit sweetener*▢ 2 lemons▢ 3 large  eggs, whites and yolks separated, at room temperature▢ 3 large  egg whites, at room temperature▢ 1 teaspoon vanilla extract▢ 1/2 teaspoon almond extract▢ Pinch of fine sea salt▢ 2 tablespoons toasted unsweetened coconut flakes']",20,"['Position a rack in the middle of the oven and preheat to 350°F. Grease a 9-inch spring form pan with nonstick spray, line with parchment paper, and flour with almond flour.In a small bowl, combine the granulated sugar and zest 2 of the lemons. Rub the sugar and zest together to release the essential oils. Set aside 2 tablespoons of the lemon sugar to add to the egg whites.In a large bowl, whisk together the egg yolks and the remaining lemon sugar.Whisk until the yolks become thick and pale in color, about 1 minute. Whisk in the vanilla extract, the almond extract, and the salt and set aside.In the bowl of a standard electric mixer fitted with the whisk attachment (or a bowl with a hand mixer), beat the 6 egg whites on medium speed until they become opaque, about 1 minute.Sprinkle in the reserved 2 tablespoons of lemon sugar, and continue to beat the egg whites until they hold high peaks, 3 to 4 minutes.With a flexible rubber spatula, stir in about one-quarter of the egg whites to the egg yolk mixture (no need to be gentle here).\xa0 Scrape the remaining egg whites over the yolks, and about half of the almond flour. Gently fold them into the yolks, but only partially.While the mixture still has a few streaks of white left, add the remaining almond flour and fold in, folding until you have a homogeneous batter.\xa0 Be gentle!Pour the batter into the prepared pan and shimmy until the batter is level.Bake the cake for 30 to 35 minutes, until the top is golden brown and springy to the touch. Let the hot cake cool on a wire rack for 5 minutes, then run a butter knife along the edges of the cake pan.Invert the cake pan onto the rack, remove the sides and bottom, and peel away the parchment paper. Turn the cake right side up and allow to cool completely.When ready to serve, spread the whipped coconut cream over the top of the cake and sprinkle with the toasted coconut. Cut into 12 slices and serve right away.']",American,Dessert
Baked Honey-Mustard Ham,"['▢ 6 to 8 pound fully cooked spiral bone-in ham▢ 3 tablespoons Dijon mustard, or to taste▢ 2 tablespoons honey▢ 1 tablespoon dark brown sugar']",5,"['Preheat the oven to 325F and position a rack in the lower third.Place the ham cut side down in a baking dish that will fit it comfortably without touching the sides and cover tightly with foil.Bake the ham until it is 135F in the thickest part, about 15 minutes per pound, 1 1/2 to 2 hours.Meanwhile, in a small bowl, mix the mustard (if your Dijon is very potent, start with 2 tablespoons and add more to taste), the honey, and brown sugar.When the ham is ready, raise the oven to 400F. Uncover it and brush the glaze all over the ham, taking care to not let too much drip off. Continue roasting until the glaze has browned and is bubbling, 15 to 20 minutes.Let the ham rest for 10 to 15 minutes before serving.']",American,"Dinner, Holiday Main Dish, main dish"
Lemon Poppy Seed Cupcakes,"['▢ 2 cups cake flour▢ 2 1/2 teaspoons poppy seeds for the batter▢ 1 teaspoon baking soda▢ 1/4 teaspoon Kosher Salt▢ 1 cup Monk Fruit sweetener,  or sugar▢ 1 and 1/2  lemons, zested and juiced▢ 3 tablespoons unsalted butter▢ 1 large  eggs▢ 2 large  egg whites▢ 1/2 cup unsweetened applesauce▢ 1/2 cup unsweetened low-fat buttermilk▢ 3/4 teaspoon vanilla extract', 'For the glaze:▢ 1/2 cup powdered sugar, 2 ounces▢ 1/2 tablespoon Fresh Lemon Juice▢ 1/2 tablespoon water▢ 1 teaspoon poppy seeds, for garnish']",15,"['Preheat oven to 325F. Line a 12-cup muffin tin with cupcake liners.In a large bowl combine the flour, poppy seeds, baking soda, and salt. Mix well.In the bowl of a stand mixer with the paddle attachment, or a medium bowl with a hand mixer, mix the sugar and lemon zest together with your hands first to release the oils. Add the butter and beat on medium speed until light and fluffy, about 3 minutes.Add the egg and egg whites one at a time and beat until combined. Add the buttermilk, applesauce, 2 tablespoons lemon juice and vanilla and beat until incorporated.Add the wet ingredients to the flour mixture and stir until just blended.Fill the cupcake liners to just below the top. Bake cake until a toothpick comes out clean, 22 to 25 minutes. Let the cupcakes cool in the pan for 5 minutes, then transfer to a wire rack to cool completely. While the cupcakes cool, make the glaze: In a small bowl, combine the powdered sugar and 1 tablespoon lemon juice. Stir until smooth. You’re looking for the glaze to be thick yet pourable so it will spread nicely on the cupcakes. Add more lemon juice or water, just a few drops at a time until it is.Put the wire rack with the cooled cupcakes over a baking sheet to catch the glaze drips. Spoon 1 teaspoon of the glaze onto each cooled cupcakes, using the back of your spoon to help it spread. Sprinkle each cupcake with a few poppy seeds, and let the glaze settle and soak in for 5 to 10 minutes before serving.']",American,Dessert
Deviled Eggs,"['▢ 4 large hard boiled eggs, cooled and peeled▢ 2 tablespoon light mayonnaise, regular for Keto▢ 1 teaspoon Dijon mustard▢ paprika, for garnish▢ Kosher salt and fresh black pepper, to taste▢ 2 tablespoons chopped fresh chives']",10,"['Hard boil the eggs using this stove top hard boiled eggs recipe or this instant pot hard boiled eggs recipe.Peel and cut the eggs in half lengthwise. Remove yolks and put them in a bowl.Add mayonnaise, mustard, salt and pepper to the yolks and mash.Transfer them to a plastic bag, snip the corner and pipe them into the egg whites.Top with chopped chives and paprika.']",American,"Appetizer, Breakfast, Brunch, Lunch, Snack"
Risotto Primavera,"['▢ 7 1/2 to 8 cups hot vegetable broth, or chicken broth, homemade or store-bought▢ 1 tablespoons extra-virgin olive oil▢ 3 cloves mined garlic▢ 1 medium  onion, chopped▢ 1 3/4 cups Arborio rice, or other short-grain Italian rice▢ 1/4 cup dry white wine▢ 1 cup diced zucchini▢ 1 cup frozen peas, thawed▢ 1 cup asparagus, cut into 1-inch pieces▢ 1 1/3 cup cherry , or grape tomatoes, halved▢ 1/4 teaspoon Kosher salt▢ 1/4 cup chopped fresh basil▢ 1 tablespoon unsalted butter, cut into pieces▢ 1/2 cup freshly grated Pecorino Romano, or Parmesan cheese, plus more for serving▢ Freshly ground black pepper, to taste']",15,"['Keep the broth warm in a small pot.Heat the olive oil in a large pot or Dutch oven over medium heat. Add the onion and garlic, and cook until it’s soft, 3 to 4 minutes. Add the rice, and stir to coat.Cook until the rice grains are translucent, about 2 minutes. Add the white wine, and cook until it’s absorbed.Add a ladle full of broth or water to cover, cook until it’s absorbed, and give the rice a good stir.Continue to add the broth and mix as the broth is absorbed until the rice is al dente, adding the zucchini, peas, tomatoes and asparagus, 1/4 teaspoon salt for the last 5 minutes. The process should take about 20 to 25 minutes from the first addition of liquid, with the final product still a bit loose and creamy, but not runny.Stir in the basil, butter, grated cheese and serve right away.']","Italian, Italian-American","Dinner, main dish, Side Dish"
